team,Date,Total Distance,Total Duration,timestamp,Seconds Moving,5km Time,Leg Number for Team,5km Elevation,Color
WhorunstheworldGIRLS,June 11th 2020,5.55,95688:00:00,6/11/2020 10:08,3987,3591.891892,41,76.58,#1DD5EE
The Sensei Garys,June 11th 2020,5.01,41688:00:00,6/11/2020 13:13,1737,1733.532934,13,36.03,black
Unicorns on the Run!,June 11th 2020,5.01,54000:00:00,6/11/2020 13:51,2250,2245.508982,35,0.00,White
RIOT Runners,June 11th 2020,5.33,82632:00:00,6/11/2020 14:16,3443,3229.831144,51,60.98,#FFA500
Unicorns on the Run!,June 11th 2020,5.01,47400:00:00,6/11/2020 15:21,1975,1971.057884,36,80.24,White
WhorunstheworldGIRLS,June 11th 2020,5,53928:00:00,6/11/2020 16:00,2247,2247,42,32.00,#1DD5EE
Kinfolk,June 11th 2020,6.45,107328:00:00,6/11/2020 16:06,4472,3466.666667,12,1.55,#BFFF00
Canberra Kitties,June 11th 2020,5.82,52800:00:00,6/11/2020 16:17,2200,1890.034364,37,115.29,Red
Footpussys,June 11th 2020,5.03,46968:00:00,6/11/2020 16:28,1957,1945.328032,32,0.00,Orange
Twelve Kitties,June 11th 2020,8.01,88128:00:00,6/11/2020 16:28,3672,2292.134831,64,91.14,#CCCCFF
Poko Fish,June 11th 2020,5.03,76200:00:00,6/11/2020 17:09,3175,3156.063618,20,81.91,#9966CC
WhorunstheworldGIRLS,June 11th 2020,5.11,46704:00:00,6/11/2020 17:13,1946,1904.109589,43,25.44,#1DD5EE
Unicorns on the Run!,June 11th 2020,6.15,46752:00:00,6/11/2020 17:23,1948,1583.739837,37,158.54,White
Poko Fish,June 11th 2020,5.03,50496:00:00,6/11/2020 17:52,2104,2091.451292,21,83.80,#9966CC
WhorunstheworldGIRLS,June 11th 2020,5.28,45384:00:00,6/11/2020 17:57,1891,1790.719697,44,34.09,#1DD5EE
Canberra Kitties,June 11th 2020,7.8,84744:00:00,6/11/2020 18:58,3531,2263.461538,38,184.68,Red
Footpussys,June 11th 2020,6.01,63672:00:00,6/11/2020 19:08,2653,2207.154742,33,16.64,Orange
Spunky Monkeys,June 11th 2020,5.01,34056:00:00,6/11/2020 20:03,1419,1416.167665,58,48.90,#00A86B
Unicorns on the Run!,June 11th 2020,5.11,41304:00:00,6/11/2020 20:53,1721,1683.953033,38,60.76,White
WhorunstheworldGIRLS,June 11th 2020,5.03,43824:00:00,6/12/2020 5:42,1826,1815.109344,45,33.80,#1DD5EE
The Sensei Garys,June 11th 2020,5.02,39504:00:00,6/12/2020 6:54,1646,1639.442231,14,109.86,black
Twelve Kitties,June 11th 2020,11.1,93744:00:00,6/12/2020 7:08,3906,1759.459459,65,91.89,#CCCCFF
Souls of the Sahara,June 11th 2020,7.9,86400:00:00,6/12/2020 7:08,3600,2278.481013,16,0.00,Cyan
Canberra Kitties,June 11th 2020,5.05,81984:00:00,6/12/2020 7:18,3416,3382.178218,39,25.74,Red
Footpussys,June 11th 2020,5.01,31632:00:00,6/12/2020 7:18,1318,1315.369261,34,33.93,Orange
Twelve Kitties,June 11th 2020,11.01,93840:00:00,6/12/2020 7:32,3910,1775.658492,66,88.10,#CCCCFF
RIOT Runners,June 11th 2020,5.01,44784:00:00,6/12/2020 7:56,1866,1862.275449,52,3.99,#FFA500
The Sensei Garys,June 11th 2020,5,54288:00:00,6/12/2020 8:02,2262,2262,15,136.20,black
his life,June 11th 2020,5.03,38328:00:00,6/12/2020 8:11,1597,1587.475149,23,8.95,#FF985E
his life,June 11th 2020,5.39,43728:00:00,6/12/2020 8:17,1822,1690.166976,24,54.73,#FF985E
his life,June 11th 2020,5.04,40584:00:00,6/12/2020 8:21,1691,1677.579365,25,14.88,#FF985E
Twelve Kitties,June 11th 2020,6.2,73872:00:00,6/12/2020 8:37,3078,2482.258065,67,9.68,#CCCCFF
RIOT Runners,June 12th 2020,6.05,64656:00:00,6/12/2020 10:30,2694,2226.446281,53,115.70,#FFA500
Footpussys,June 12th 2020,5.02,46128:00:00,6/12/2020 11:11,1922,1914.342629,35,0.00,Orange
WhorunstheworldGIRLS,June 12th 2020,7.48,110400:00:00,6/12/2020 11:11,4600,3074.86631,46,28.14,#1DD5EE
Canberra Kitties,June 12th 2020,5.51,47208:00:00,6/12/2020 12:16,1967,1784.936479,40,219.15,Red
Unicorns on the Run!,June 12th 2020,9.87,85440:00:00,6/12/2020 12:16,3560,1803.444782,39,141.84,White
International Super Spreaders,June 12th 2020,5.1,34560:00:00,6/12/2020 12:58,1440,1411.764706,58,0.00,#FFD700
Footpussys,June 12th 2020,5.61,79704:00:00,6/12/2020 13:13,3321,2959.893048,36,24.06,Orange
Spunky Monkeys,June 12th 2020,5.02,37176:00:00,6/12/2020 14:04,1549,1542.828685,59,21.91,#00A86B
Canberra Kitties,June 12th 2020,5.13,57552:00:00,6/12/2020 14:35,2398,2337.231969,41,230.99,Red
