team,distance,duration,timestamp,seconds_moving,5km_time,leg_number_for_team,Elevation,Penalty,
MS/MR,5120.3,39312:00:00,3/5/2020 8:21,1638,1599.515653,34,,,
The Phoebe Buffay Running Club,5118.7,41856:00:00,3/5/2020 8:21,1744,1709.418407,6,,,
WhorunstheworldGIRLS,8451.2,88176:00:00,3/5/2020 8:21,3674,2262.992238,6,,,
Straight Outta Stompton,5023.7,38520:00:00,3/5/2020 8:26,1605,1597.42819,12,,,
Unicorn Trail Team 1,5008.7,40920:00:00,3/5/2020 8:26,1705,1714.017609,47,,,
MMI Adventure Racing,5211,41808:00:00,3/5/2020 8:36,1742,1694.49242,12,,,
Footpussys,5192.8,39168:00:00,3/5/2020 8:36,1632,1571.406563,8,,,
Poko Fish,5162.9,106464:00:00,3/5/2020 8:36,4436,4771.543125,7,,,
Asante sana squash banana,5037.1,52104:00:00,3/5/2020 8:51,2171,2159.973,12,,,
MS/MR,5017.6,42720:00:00,3/5/2020 9:01,1780,1773.756378,35,,,
Footpussys,5092,35304:00:00,3/5/2020 9:06,1471,1444.422624,9,,,
Straight Outta Stompton,5015.6,30696:00:00,3/5/2020 9:06,1279,1275.021932,13,,,
The Phoebe Buffay Running Club,5022.9,35568:00:00,3/5/2020 9:06,1482,1500.129407,7,,,
Unicorn Trail Team 1,5155.3,40344:00:00,3/5/2020 9:06,1681,1637.150117,48,,,
Coodows,5026.4,40536:00:00,3/5/2020 9:31,1689,1717.929333,11,,,
WhorunstheworldGIRLS,5054,46104:00:00,3/5/2020 9:31,1921,1900.474871,7,,,
Footpussys,5055.5,38640:00:00,3/5/2020 9:41,1610,1592.32519,10,,,
Unicorn Trail Team 1,5069,38400:00:00,3/5/2020 9:41,1600,1578.220556,49,,,
The Phoebe Buffay Running Club,5002.9,35640:00:00,3/5/2020 9:45,1485,1484.139199,8,,,
MS/MR,5366.8,36672:00:00,3/5/2020 9:46,1528,1423.567116,36,,,
Coodows,5009.9,32448:00:00,3/5/2020 10:03,1352,1349.32833,12,,,
Unicorn Trail Team 1,5013.1,35136:00:00,3/5/2020 10:19,1464,1532.983583,50,,,
MS/MR,5022,35088:00:00,3/5/2020 10:24,1462,1464.555954,37,,,
Footpussys,5464,37296:00:00,3/5/2020 10:24,1554,1422.035139,11,,,
Poko Fish,5040.7,43152:00:00,3/5/2020 10:37,1798,1808.280596,8,,,
WhorunstheworldGIRLS,5003.5,33456:00:00,3/5/2020 10:46,1394,1393.024883,8,,,
MS/MR,5111,36768:00:00,3/5/2020 10:56,1532,1507.532772,38,,,
MMI Adventure Racing,5011.5,30600:00:00,3/5/2020 11:22,1275,1272.074229,13,,,
MS/MR,5005,43008:00:00,3/5/2020 11:31,1792,1790.20979,39,,,
MS/MR,5289.6,36960:00:00,3/5/2020 12:12,1540,1497.277677,40,,,
MS/MR,5023,34728:00:00,3/5/2020 12:51,1447,1444.355963,41,,,
WhorunstheworldGIRLS,5037.9,40776:00:00,3/5/2020 13:01,1699,1768.594057,9,,,
MMI Adventure Racing,5280.5,34536:00:00,3/5/2020 13:06,1439,1379.604204,14,,,
MS/MR,5108.6,37872:00:00,3/5/2020 13:21,1578,1544.454449,42,,,
WhorunstheworldGIRLS,5018.5,41856:00:00,3/5/2020 13:56,1744,1747.534124,10,,,
The Phoebe Buffay Running Club,5006.1,51048:00:00,3/5/2020 15:00,2127,2167.355826,9,,,
MMI Adventure Racing,5525.4,45648:00:00,3/5/2020 15:06,1902,1757.338835,15,,,
Poko Fish,5014,41592:00:00,3/5/2020 15:31,1733,1740.127643,9,,,
Asante sana squash banana,5011.9,53664:00:00,3/5/2020 16:31,2236,2291.54612,13,,,
Footpussys,6256,95280:00:00,3/5/2020 16:31,3970,3302.429668,12,,,
MS/MR,5009.4,43488:00:00,3/5/2020 16:37,1812,1814.588573,47,,,
Poko Fish,5286.3,79320:00:00,3/5/2020 16:37,3305,3358.681876,10,,,
WhorunstheworldGIRLS,13496.6,123744:00:00,3/5/2020 16:52,5156,1919.372286,11,,,
The Phoebe Buffay Running Club,5178.4,42072:00:00,3/5/2020 17:01,1753,1692.607755,10,,,
Coodows,5284.4,31416:00:00,3/5/2020 17:11,1309,1238.551207,13,,,
MS/MR,5231.2,37200:00:00,3/5/2020 17:20,1550,1481.495642,48,,,
Asante sana squash banana,5109,47136:00:00,3/5/2020 17:46,1964,1946.564885,14,,,
MS/MR,5034,37656:00:00,3/5/2020 17:56,1569,1568.33532,49,,,
MMI Adventure Racing,5122,41568:00:00,3/5/2020 18:01,1732,1690.745802,16,,,
WhorunstheworldGIRLS,5025.7,47472:00:00,3/5/2020 18:07,1978,1967.885071,12,,,
Asante sana squash banana,5019.9,44328:00:00,3/5/2020 18:21,1847,1842.666189,15,,,
MS/MR,5136.8,36960:00:00,3/5/2020 18:29,1540,1498.987697,50,,,
MMI Adventure Racing,5016.1,33672:00:00,3/5/2020 18:37,1403,1398.49684,17,,,
MMI Adventure Racing,5243.5,45840:00:00,3/5/2020 20:08,1910,1821.302565,18,,,
Asante sana squash banana,5063.6,37416:00:00,3/5/2020 20:37,1559,1539.418595,16,,,
Footpussys,5035.5,36408:00:00,4/5/2020 6:26,1517,1506.305233,13,,,
Asante sana squash banana,5020.9,54816:00:00,4/5/2020 6:26,2284,2281.463483,17,,,
The Phoebe Buffay Running Club,5081.9,32544:00:00,4/5/2020 6:36,1356,1334.146677,11,,,
Coodows,5018.1,38064:00:00,4/5/2020 6:41,1586,1648.034116,14,,,
The Sensei Garys,5257.8,41592:00:00,4/5/2020 6:56,1733,1648.027692,11,,,
Straight Outta Stompton,6006.7,45312:00:00,4/5/2020 7:17,1888,1571.578404,14,,,
WhorunstheworldGIRLS,5334.4,45600:00:00,4/5/2020 7:17,1900,1783.705759,13,,,
The Sensei Garys,5100,62544:00:00,4/5/2020 7:21,2606,2554.901961,12,,,
Footpussys,5311,75264:00:00,4/5/2020 7:32,3136,2996.610808,14,,,
MMI Adventure Racing,5009.1,41136:00:00,4/5/2020 7:47,1714,1744.82442,19,,,
MMI Adventure Racing,5034,39048:00:00,4/5/2020 8:37,1627,1633.889551,20,,,
